index,Customer ID,Description
0,13085,15CM CHRISTMAS GLASS BALL 20 LIGHTS
1,13078,DOOR MAT BLACK FLOCK 
2,15362,CHRISTMAS CRAFT HEART DECORATIONS
3,18102,DINOSAURS  WRITING SET 
4,12682,CHRISTMAS PUDDING TRINKET POT 
5,18087,CAT BOWL 
6,13635,UNION JACK GUNS & ROSES  DOORMAT
7,14110,RETRO RED SPOTTY WASHING UP GLOVES
8,12636,POSTAGE
9,17519,PINK FELT HANGING HEART W FLOWER
10,13758,RED HANGING HEART T-LIGHT HOLDER
11,12362,POSTAGE
12,15413,GOLD APERITIF GLASS
13,16321,PAPER BUNTING WHITE LACE
14,16167,PINK CHERRY LIGHTS
15,17865,RED STRIPE CERAMIC DRAWER KNOB
16,17592,PINK SWEETHEART BRACELET
17,13767,"FOLDING UMBRELLA , BLACK/BLUE  SPOT"
18,17238,CHARLIE LOLA BLUE HOT WATER BOTTLE 
19,15712,LADYBIRD + BEE RAFFIA FOOD COVER
20,15311,VINTAGE HEADS AND TAILS CARD GAME 
21,16329,BAG 500g SWIRLY MARBLES
22,17700,PAPER CHAIN KIT 50'S CHRISTMAS 
23,14911,PURPLE CURRENT CANDLE RING
24,15998,SET 12 RETRO WHITE CHALK STICKS
25,12931,ASSORTED COLOUR BIRD ORNAMENT
26,12533,SCANDINAVIAN REDS RIBBONS
27,17984,CREAM SWEETHEART MAGAZINE RACK
28,14871,GLASS HONEYPOT WASP CATCHER
29,13394,BRIGHT BLUES RIBBONS 
30,16011,SILVER CHRISTMAS TREE BAUBLE STAND 
31,16393,LARGE CAMPHOR WOOD FIELD MUSHROOM 
32,14040,DOOR MAT TOPIARY
33,12913,RED HANGING METAL STAR TLIGHT HLDR
34,15061,PAPER CHAIN KIT 50'S CHRISTMAS 
35,14341,PAPER CHAIN KIT 50'S CHRISTMAS 
36,17804,CARNIVAL BRACELET
37,14156,PINK HEART SHAPE EGG FRYING PAN
38,13599,PAPER CHAIN KIT 50'S CHRISTMAS 
39,17063,WOODEN BOX ADVENT CALENDAR 
40,15719,BLUE ROSE FABRIC MIRROR
41,12490,BASKET OF TOADSTOOLS
42,15793,ANTIQUE SILVER TEA GLASS ETCHED
43,17056,SCOTTIE DOG HOT WATER BOTTLE
44,13526,ASS COL SMALL SAND FROG P'WEIGHT
45,14654,WRAP WINTER FOREST
46,17998,DOVE DECORATION PAINTED ZINC 
47,17742,VINTAGE KEEPSAKE BOX PINK FLOWER
48,15326,SILVER CHRISTMAS TREE BAUBLE STAND 
49,14478,WHITE TISSUE REAM
50,15967,CREAM HEART CARD HOLDER
51,17611,RIBBON REEL FLORA + FAUNA 
52,15051,UNION JACK GUNS & ROSES  DOORMAT
53,13097,SPOTTY  HOME SWEET HOME DOORMAT
54,13590,SMALLFOLKART BAUBLE CHRISTMAS DEC
55,15984,SCANDINAVIAN REDS RIBBONS
56,16887,HAND OPEN SHAPE GOLD
57,12921,STRAWBERRY CERAMIC TRINKET BOX
58,14543,PURPLE PILLAR CANDLE BLACK FLOCK
59,15945,S/4 CACTI CANDLES
60,18037,LIBRARY LAMP
61,15662,ZINC WILLIE WINKIE  CANDLE STICK
62,15380,HAND OPEN SHAPE DECO.WHITE
63,13110,RED HANGING HEART T-LIGHT HOLDER
64,12836,DOORMAT HEARTS
65,15005,GREEN CHRISTMAS TREE STRING 20LIGHT
66,16620,RED SPOTTY COIR DOORMAT
67,12758,SCOTTIE DOG HOT WATER BOTTLE
68,17961,RETRO PINK SPOT WASHING UP GLOVES
